species;spec;ring_ID;date;sex;fuel ;infection;RMR;origMassSpec-RMR;MMR30;origMassSpec-MMR;hemo;parasitemia
PhoPho;3;43A4708;18.04.17;1;1;0;0.5149;0.0477;3.27;0.2946;161;
PhoPho;3;43A4709;18.04.17;1;4;0;0.6016;0.0477;5.47;0.4376;203;
PhoPho;3;43A4711;18.04.17;2;1;0;0.5998;0.0526;4.8;0.4;189;
PhoPho;3;43A4752;19.04.17;1;3;0;0.631;0.0482;4.83;0.3659;182;
PhoPho;3;43A4754;19.04.17;1;4;0;0.6188;0.0483;4.74;0.3823;182;
PhoPho;3;43A4757;19.04.17;1;4;0;0.5906;0.0451;4.9;0.3712;178;
PhoPho;3;43A4767;19.04.17;2;5;0;0.8143;0.0612;4.09;0.286;170;
SaxRub;4;43A4798;20.04.17;1;4;0;0.7478;0.0538;5.32;0.3477;175;
PhoPho;3;43A4855;21.04.17;2;2;0;0.5603;0.0471;3.61;0.3059;146;
PhoPho;3;43A4860;21.04.17;1;1;0;0.5873;0.0498;4.48;0.3797;194;
PhoPho;3;43A4866;21.04.17;2;3;0;0.5457;0.0462;4.62;0.3638;180;
SaxRub;4;43A4867;21.04.17;1;1;0;0.4874;0.0403;4;0.2963;181;
PhoPho;3;43A4868;21.04.17;2;0;0;0.5148;0.051;3.46;0.3062;168;
SaxRub;4;43A4932;23.04.17;1;2;0;0.6688;0.0488;5.55;0.3725;189;
SaxRub;4;43A4960;24.04.17;1;3;0;0.671;0.0501;5.2;0.3562;197;
SaxRub;4;43A5026;24.04.17;2;2;0;0.5288;0.0464;3.4;0.2881;109;
SaxRub;4;43A5029;24.04.17;2;1;0;;;4.58;0.3785;183;
SaxRub;4;43A5060;25.04.17;2;2;0;0.7825;0.0593;3.69;0.286;177;
SaxRub;4;43A5181;25.04.17;1;3;0;0.7257;0.053;3.81;0.2664;183;
SaxRub;4;43A5182;25.04.17;1;2;0;0.6668;0.0501;3.96;0.2912;176;
SaxRub;4;43A5298;26.04.17;2;2;0;0.6343;0.0542;4.59;0.3825;177;
SaxRub;4;43A5299;26.04.17;2;1;0;0.6494;0.0565;2.48;0.2084;172;
SaxRub;4;43A5322;27.04.17;2;1;0;;;4.22;0.3349;170;
SaxRub;4;43A5343;28.04.17;2;5;0;0.8556;0.0522;5.45;0.3028;182;
SaxRub;4;43A5345;28.04.17;1;3;0;1.1019;0.072;4.74;0.2963;189;
SaxRub;4;43A5346;28.04.17;1;5;0;0.8766;0.0581;4.02;0.2481;190;
SaxRub;4;43A5347;28.04.17;2;4;0;0.83;0.0624;4.83;0.3308;185;
SaxRub;4;43A5371;28.04.17;2;4;0;0.7091;0.0558;4.52;0.3299;175;
SaxRub;4;43A5374;28.04.17;2;5;0;0.7807;0.0587;6.05;0.4231;181;
SaxRub;4;43A5606;30.04.17;1;3;0;0.8557;0.0598;3.83;0.2816;150;
SaxRub;4;43A5653;30.04.17;2;1;0;;;3.66;0.2928;210;
SaxRub;4;43A5725;02.05.17;2;0;0;0.7308;0.058;3.38;0.2704;92;
SaxRub;4;43A5804;02.05.17;2;5;0;0.769;0.0636;3.89;0.2903;144;
